name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Yamato 74065,24443,Valid,L6,12.1,Found,1974,-71.79972,36.29028,"(-71.79972, 36.29028)"
Yamato 74066,24444,Valid,L6,12.4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74067,24445,Valid,H6,4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74068,24446,Valid,H5,5.41,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74069,24447,Valid,H6,18.57,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74070,24448,Valid,H5,58.7,Found,1974,-71.81167,36.4125,"(-71.81167, 36.4125)"
Yamato 74071,24449,Valid,H4,17.55,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74072,24450,Valid,H5,29,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74073,24451,Valid,H5,29.9,Found,1974,-71.81583,36.425,"(-71.81583, 36.425)"
Yamato 74074,24452,Valid,H5,54.2,Found,1974,-71.81694,36.42222,"(-71.81694, 36.42222)"
Yamato 74075,24453,Valid,H6,5.05,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74076,24454,Valid,L6,20.36,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74077,24455,Valid,L6,5575.1,Found,1974,-71.83556,36.35833,"(-71.83556, 36.35833)"
Yamato 74078,24456,Valid,H4,15.88,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74079,24457,Valid,H5,620.8,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74080,24458,Valid,L6,536.9,Found,1974,-71.81944,36.19861,"(-71.81944, 36.19861)"
Yamato 74081,24459,Valid,H4,102.5,Found,1974,-71.80528,36.175,"(-71.80528, 36.175)"
Yamato 74082,24460,Valid,H4,179.8,Found,1974,-71.80472,36.18056,"(-71.80472, 36.18056)"
Yamato 74083,24461,Valid,H4,3.31,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74084,24462,Valid,L6,2.26,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74085,24463,Valid,H4,30.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74086,24464,Valid,H5,0.97,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74087,24465,Valid,L6,0.78,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74088,24466,Valid,H4,14.28,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
